"Country Name","Country Code","Region","IncomeGroup","SpecialNotes",
"Sint Maarten (Dutch part)","SXM","Latin America & Caribbean","High income: nonOECD","",
"Seychelles","SYC","Sub-Saharan Africa","Upper middle income","April 2013 database update: Based on official government statistics, national accounts data were revised for 1976 onward; the base year changed to 2006.",
"Syrian Arab Republic","SYR","Middle East & North Africa","Lower middle income","April 2013 database update: Based on data from the Central Bureau of Statistics, national accounts data were revised for 2003 onward.",
"Turks and Caicos Islands","TCA","Latin America & Caribbean","High income: nonOECD","",
"Chad","TCD","Sub-Saharan Africa","Low income","Based on IMF data, national accounts data have been revised for 2005 onward; the new base year is 2005.",
"Togo","TGO","Sub-Saharan Africa","Low income","April 2013 database update: Based on IMF data, national accounts data have been revised for 2000; the new base year is 2000.",
"Thailand","THA","East Asia & Pacific","Upper middle income","Fiscal year end: September 30; reporting period for national accounts data: CY.",
"Tajikistan","TJK","Europe & Central Asia","Low income","",
"Turkmenistan","TKM","Europe & Central Asia","Upper middle income","On January 1, 2009, the Turkmen manat was redenominated (1 new manat = 5,000 old manats).",
"Timor-Leste","TLS","East Asia & Pacific","Lower middle income","Based on official government statistics, national account data have been revised, and value added is measured at basic prices; the new base year is 2010.",
"Tonga","TON","East Asia & Pacific","Upper middle income","Fiscal year ends on June 30; reporting period for national accounts data: FY. April 2013 database update: Based on data from the National Bureau of Statistics, national accounts data were revised; the base year changed to 2010/11.",
"Trinidad and Tobago","TTO","Latin America & Caribbean","High income: nonOECD","",
"Tunisia","TUN","Middle East & North Africa","Upper middle income","April 2012 database update: Based on data from the Central Bank and its Statistical Bulletin, national accounts data were revised for 1997 onward.",
"Turkey","TUR","Europe & Central Asia","Upper middle income","",
"Tuvalu","TUV","East Asia & Pacific","Upper middle income","Based on data from the IMF, World Bank and government official statistics, national accounts data have been revised from 2006 onward. Value added is measured at producer prices up to 1999 and at basic prices from 2000 onward.",
"Tanzania","TZA","Sub-Saharan Africa","Low income","",
"Uganda","UGA","Sub-Saharan Africa","Low income","Fiscal year end: June 30; reporting period for national accounts data: FY. In 2011, the Bureau of Statistics revised national accounts series for 1998 onward; the base year for constant price series changed to 2001/02.",
"Ukraine","UKR","Europe & Central Asia","Lower middle income","",
"Upper middle income","UMC","","","Upper middle income group aggregate. Upper-middle-income economies are those in which 2012 GNI per capita was between $4,086 and $12,615.",
"Uruguay","URY","Latin America & Caribbean","High income: nonOECD","In 2011, the Central Bank revised national accounts data for 2006 onward.",
"United States","USA","North America","High income: OECD","Fiscal year end: September 30; reporting period for national accounts data: CY.",
"Uzbekistan","UZB","Europe & Central Asia","Lower middle income","",
"St. Vincent and the Grenadines","VCT","Latin America & Caribbean","Upper middle income","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",
"Venezuela, RB","VEN","Latin America & Caribbean","Upper middle income","",
"Virgin Islands (U.S.)","VIR","Latin America & Caribbean","High income: nonOECD","",
"Vietnam","VNM","East Asia & Pacific","Lower middle income","Based on data from the Vietnam Statistics Office, national accounts data have been revised from 2000 onward; the new base year is 2010.",
"Vanuatu","VUT","East Asia & Pacific","Lower middle income","Based on official government statistics, value added is measured at producer prices through 1997 and at basic prices from 1998 onward.",
"World","WLD","","","World aggregate.",
"Samoa","WSM","East Asia & Pacific","Lower middle income","Fiscal year ends on June 30; reporting period for national accounts data: FY. Data are revised from Samoa Bureau of Statistics and Central Bank of Samoa.",
"Yemen, Rep.","YEM","Middle East & North Africa","Lower middle income","Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward.",
"South Africa","ZAF","Sub-Saharan Africa","Upper middle income","Fiscal year end: March 31; reporting period for national accounts data: CY.",
"Zambia","ZMB","Sub-Saharan Africa","Lower middle income","National accounts data have rebased to reflect the January 1, 2013, introduction of the new Zambian kwacha at a rate of 1,000 old kwacha = 1 new kwacha.",
"Zimbabwe","ZWE","Sub-Saharan Africa","Low income","Fiscal year end: June 30; reporting period for national accounts data: CY. As of January 2009, multiple hard currencies, such as rand, pound sterling, euro and U.S. dollar are in use. Data are reported in U.S. dollars, the most-used currency.",
